32,3410,50583,29047,31851,54164,14793,50712,65533,438,560,54675,65534,53649,14791,50719,50640,5520,47798,11155,24108,42411,65480,3606,2908,19819,1382,54565,10655,65480,11664,24104,42399,19823,34453,3599,60254,27119,27912,25443,4853,4696,4869,27261,27789,25712,32323,3915,60619,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33,3520,51646,29121,31020,55174,14795,50701,65533,438,560,55668,65534,54674,14793,50708,51756,5612,46593,10161,24095,42473,65480,3606,2908,19759,1382,55544,9677,65480,10655,24092,42461,19757,35809,3005,59496,27137,27975,25566,4853,4696,4869,27275,27852,25834,33626,3298,59880,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34,3630,52680,29235,30173,56150,14798,50691,65533,438,560,56624,65534,55664,14795,50698,52844,5762,45366,9201,24078,42536,65480,3606,2908,19710,1382,56491,8736,65480,9678,24076,42523,19705,37159,2463,58684,27159,28039,25693,4853,4696,4869,27297,27918,25962,34921,2731,59091,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
35,3740,53682,29373,29311,57085,14801,50680,65533,438,560,57536,65534,56626,14798,50688,53899,5958,44115,8281,24059,42599,65480,3606,2908,19658,1382,57399,7838,65480,8736,24059,42586,19660,38507,1972,57830,27176,28095,25814,4853,4696,4869,27318,27979,26089,36216,2217,58256,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36,3850,54647,29538,28437,57970,14805,50670,65533,438,560,58402,65534,57532,14801,50677,54914,6196,42846,7406,24038,42663,65480,3606,2908,19594,1382,58262,6984,65480,7838,24039,42650,19597,39840,1529,56937,27187,28140,25929,4853,4696,4869,27331,28029,26207,37501,1751,57382,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
37,3960,55573,29734,27553,58814,14809,50659,65533,438,560,59228,65534,58403,14805,50666,55888,6491,41561,6572,24014,42727,65480,3606,2908,19545,1382,59085,6170,65480,6983,24016,42714,19538,41158,1147,56001,27203,28187,26048,4853,4696,4869,27343,28073,26324,38770,1336,56468,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
38,4070,56462,29962,26660,59622,14813,50648,65533,438,560,60009,65534,59226,14809,50656,56826,6843,40261,5778,23987,42792,65480,3606,2908,19510,1382,59869,5399,65480,6170,23991,42778,19498,42466,823,55020,27221,28232,26168,4853,4696,4869,27362,28121,26447,40028,982,55511,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
39,4180,57312,30218,25760,60382,14818,50637,65533,438,560,60740,65534,60006,14814,50645,57725,7240,38950,5033,23959,42857,65480,3606,2908,19470,1382,60606,4679,65480,5399,23963,42843,19461,43754,546,54000,27230,28263,26277,4853,4696,4869,27376,28160,26564,41272,679,54515,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,4290,58118,30501,24855,61080,14823,50627,65533,438,560,61422,65534,60738,14819,50634,58578,7679,37630,4335,23928,42921,65480,3606,2908,19426,1382,61292,4007,65480,4678,23933,42908,19417,45024,327,52954,27229,28282,26375,4853,4696,4869,27379,28183,26668,42496,427,53484,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41,4400,58878,30814,23946,61749,14828,50616,65533,438,560,62057,65534,61422,14824,50623,59384,8169,36303,3688,23894,42986,65480,3606,2908,19401,1382,61933,3381,65480,4007,23901,42972,19380,46268,164,51869,27228,28295,26471,4853,4696,4869,27378,28199,26766,43699,236,52421,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
