0000000156,0000040364,-01460,018613,-00064,-06400,015700,-14831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000157,0000040625,-01555,017451,000119,-08289,015970,-13105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000158,0000040885,-01661,016377,000316,-10082,016094,-11245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000159,0000041145,-01708,014859,000472,-11767,016033,-09286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000160,0000041406,-01712,013070,000621,-13296,015791,-07284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000161,0000041666,-01717,011257,000771,-14689,015406,-05270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000162,0000041927,-01757,009564,000943,-15915,014864,-03207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000163,0000042187,-01772,007884,001097,-16986,014184,-01118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000164,0000042447,-01740,005838,001237,-17913,013384,001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000165,0000042708,-01683,003551,001349,-18726,012488,003166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000166,0000042968,-01623,001381,001466,-19412,011478,005349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000167,0000043229,-01561,-00587,001557,-19937,010356,007505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000168,0000043489,-01470,-02540,001627,-20291,009119,009557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000169,0000043750,-01334,-04613,001680,-20408,007776,011500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000170,0000044010,-01212,-06778,001726,-20257,006325,013297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000171,0000044270,-01080,-08806,001761,-19860,004829,014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000172,0000044531,-00960,-10478,001791,-19260,003302,016402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000173,0000044791,-00830,-12257,001792,-18477,001760,017725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000174,0000045052,-00647,-14023,001773,-17569,000235,018877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000175,0000045312,-00465,-15717,001730,-16539,-01287,019902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000176,0000045572,-00276,-17096,001674,-15379,-02812,020775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000177,0000045833,-00142,-18116,001611,-14058,-04351,021480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000178,0000046093,000011,-18915,001532,-12562,-05854,021985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000179,0000046354,000187,-19796,001423,-10919,-07326,022255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000180,0000046614,000376,-20610,001309,-09137,-08719,022270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000181,0000046875,000557,-21140,001181,-07259,-10009,022021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000182,0000047135,000668,-21259,001059,-05336,-11193,021520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000183,0000047395,000819,-21315,000938,-03392,-12242,020824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000184,0000047656,000986,-21276,000762,-01443,-13174,019950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000185,0000047916,001154,-21129,000576,000501,-13984,018937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000186,0000048177,001290,-20584,000391,002453,-14682,017777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000187,0000048437,001384,-19787,000232,004409,-15253,016433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000188,0000048697,001461,-18761,000073,006357,-15690,014887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000189,0000048958,001544,-17392,-00111,008245,-15961,013167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000190,0000049218,001629,-16072,-00304,010042,-16083,011305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000191,0000049479,001690,-14634,-00480,011724,-16029,009340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
